GOOG (Google  Inc.),1508.69006,7.2499
Feb 11 2020 @ 08:31 ET,Bid,1515,Ask,1515.98,Size,2x1,Vol,1419876
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
02/14/2020,GOOG200214C01317500,0,0,186,195,0,0.02,1,0.0002,0,1317.500,GOOG200214P01317500,4.1,0,0,0.65,0,0.5666,-0.0104,0.0003,54
02/14/2020,GOOG200214C01320000,149,0,183.5,192.7,0,0.02,1,0.0002,11,1320.000,GOOG200214P01320000,0.15,-0.2,0,0.3,6,0.508,-0.0057,0.0002,125
02/14/2020,GOOG200214C01322500,0,0,181,189.4,0,0.02,1,0,0,1322.500,GOOG200214P01322500,4,0,0,0.65,0,0.547,-0.01,0.0003,35
02/14/2020,GOOG200214C01325000,153.4,0,178.5,187.7,0,0.02,1,0.0001,8,1325.000,GOOG200214P01325000,0.48,0,0,0.65,0,0.5453,-0.0108,0.0003,66
02/14/2020,GOOG200214C01327500,0,0,176,185.2,0,0.02,1,0.0002,0,1327.500,GOOG200214P01327500,1.45,0,0,0.65,0,0.5388,-0.0109,0.0003,13
02/14/2020,GOOG200214C01330000,153.7,0,173.5,182.7,0,0.02,1,0.0002,4,1330.000,GOOG200214P01330000,0.22,0,0,0.65,0,0.5319,-0.0111,0.0003,172
02/14/2020,GOOG200214C01332500,0,0,171,180.2,0,0.02,1,0.0003,0,1332.500,GOOG200214P01332500,5.08,0,0,0.65,0,0.525,-0.0112,0.0004,1
02/14/2020,GOOG200214C01335000,150,6.2,169,178.4,1,0.02,1,0,1,1335.000,GOOG200214P01335000,0.21,-0.115,0,0.65,1,0.5126,-0.0106,0.0003,48
02/14/2020,GOOG200214C01337500,0,0,166,175.2,0,0.02,1,0.0001,0,1337.500,GOOG200214P01337500,5,0,0,0.65,0,0.5111,-0.0115,0.0004,19
02/14/2020,GOOG200214C01340000,139.15,0,164,172.7,0,0.02,1,0.0002,4,1340.000,GOOG200214P01340000,0.92,0,0,0.6,0,0.4984,-0.0109,0.0004,108
02/14/2020,GOOG200214C01342500,0,0,161,169.4,0,0.02,1,0.0002,0,1342.500,GOOG200214P01342500,1.37,0,0,0.65,0,0.4968,-0.0118,0.0004,19
02/14/2020,GOOG200214C01345000,154.33,20.28,159,167.7,6,0.02,1,0.0003,6,1345.000,GOOG200214P01345000,0.25,0,0,0.2,0,0.4255,-0.0047,0.0002,49
02/14/2020,GOOG200214C01347500,103.7,0,156,165.1,0,0.02,1,0.0002,1,1347.500,GOOG200214P01347500,2.72,0,0,0.7,0,0.4835,-0.0121,0.0004,5
02/14/2020,GOOG200214C01350000,150.5,21.6,155,160.4,26,0.02,1,0.0001,22,1350.000,GOOG200214P01350000,0.25,-0.075,0.05,0.45,6,0.4598,-0.01,0.0004,171
02/14/2020,GOOG200214C01352500,121.35,0,151,159.4,0,0.02,1,0.0002,9,1352.500,GOOG200214P01352500,0.3,0,0,0.7,0,0.474,-0.0131,0.0004,25
02/14/2020,GOOG200214C01355000,101.9,0,148.5,157.5,0,0.02,1,0.0001,3,1355.000,GOOG200214P01355000,0.33,0,0,0.7,0,0.4623,-0.0126,0.0004,72
02/14/2020,GOOG200214C01357500,141.6,20.15,146.5,156.5,6,0.02,1,0,8,1357.500,GOOG200214P01357500,0.08,-0.32,0.05,0.7,1,0.4645,-0.0142,0.0005,35
02/14/2020,GOOG200214C01360000,118.66,0,143.5,152.5,0,0.02,1,0.0001,19,1360.000,GOOG200214P01360000,0.22,-0.23,0,0.6,4,0.4441,-0.0121,0.0004,150
02/14/2020,GOOG200214C01362500,68.7,0,141.5,150.5,0,0.02,1,0.0005,3,1362.500,GOOG200214P01362500,2.15,0,0,0.7,0,0.4461,-0.0139,0.0005,24
02/14/2020,GOOG200214C01365000,87.9,0,139,147.7,0,0.02,1,0.0005,21,1365.000,GOOG200214P01365000,0.35,-0.075,0,0.7,1,0.4397,-0.0141,0.0005,107
02/14/2020,GOOG200214C01367500,0,0,136.5,145.2,0,0.02,1,0.0005,0,1367.500,GOOG200214P01367500,1.65,0,0,0.75,0,0.4278,-0.0135,0.0005,3
02/14/2020,GOOG200214C01370000,135.96,26.01,134,143.6,3,0.02,1,0.0006,18,1370.000,GOOG200214P01370000,0.38,0.13,0,0.75,6,0.4253,-0.0145,0.0005,95
02/14/2020,GOOG200214C01372500,0,0,130.5,138.8,0,0.02,1,0.0006,0,1372.500,GOOG200214P01372500,0.55,0,0,0.75,0,0.4145,-0.0139,0.0005,14
02/14/2020,GOOG200214C01375000,71.2,0,129,137.6,0,0.02,1,0.0008,11,1375.000,GOOG200214P01375000,0.01,-0.465,0,0.75,1,0.4119,-0.0149,0.0006,80
02/14/2020,GOOG200214C01377500,102.01,0,126.5,135.4,0,0.02,1,0.0006,8,1377.500,GOOG200214P01377500,3,0,0,0.75,0,0.396,-0.0134,0.0005,14
02/14/2020,GOOG200214C01380000,64.2,0,124,132.9,0,0.02,1,0.0007,4,1380.000,GOOG200214P01380000,0.14,-0.435,0,0.4,5,0.3688,-0.0101,0.0005,142
02/14/2020,GOOG200214C01382500,85.1,0,121.5,130.1,0,0.02,1,0.0009,2,1382.500,GOOG200214P01382500,0.71,0,0,0.7,0,0.3864,-0.0148,0.0006,80
02/14/2020,GOOG200214C01385000,91,0,118.5,127,0,0.02,1,0.0007,7,1385.000,GOOG200214P01385000,0.24,-0.31,0,0.45,1,0.3603,-0.0112,0.0005,93
02/14/2020,GOOG200214C01387500,74.5,0,116,124.2,0,0.02,1,0.0009,2,1387.500,GOOG200214P01387500,0.7,0.25,0,0.65,4,0.3726,-0.0153,0.0007,28
02/14/2020,GOOG200214C01390000,108.1,18.5,113.9,121.7,2,0.02,1,0.0002,12,1390.000,GOOG200214P01390000,0.45,-0.2,0.1,0.5,6,0.3615,-0.0146,0.0006,142
02/14/2020,GOOG200214C01392500,58.2,0,111.5,120.1,0,0.02,1,0.0001,9,1392.500,GOOG200214P01392500,0.22,-0.28,0,0.7,5,0.3547,-0.0149,0.0007,42
02/14/2020,GOOG200214C01395000,81,0,109.5,118.7,0,0.02,1,0.0007,11,1395.000,GOOG200214P01395000,0.61,-0.115,0,0.4,6,0.3557,-0.017,0.0007,51
02/14/2020,GOOG200214C01397500,98.7,0,107,116.4,0,0.02,0.9955,0.0003,5,1397.500,GOOG200214P01397500,0.26,-0.49,0,0.45,62,0.3272,-0.0123,0.0006,52
02/14/2020,GOOG200214C01400000,100,20.25,108.3,110.6,26,0.02,0.9838,0.0008,45,1400.000,GOOG200214P01400000,0.3,-0.65,0.1,0.5,63,0.3346,-0.0157,0.0007,276
02/14/2020,GOOG200214C01402500,45.4,0,101.7,110.9,0,0.02,1,0.0002,11,1402.500,GOOG200214P01402500,0.01,-0.915,0,0.7,5,0.3347,-0.018,0.0008,65
02/14/2020,GOOG200214C01405000,92.7,17.8,99.9,106.8,1,0.02,1,0.0002,27,1405.000,GOOG200214P01405000,0.38,-0.645,0,0.65,3,0.3242,-0.0173,0.0008,61
02/14/2020,GOOG200214C01407500,36.4,0,97.4,104.5,0,0.02,1,0.0004,5,1407.500,GOOG200214P01407500,1.2,0,0.05,0.75,0,0.3274,-0.0207,0.001,60
02/14/2020,GOOG200214C01410000,102,31.9,95,102.9,6,0.02,1,0.001,37,1410.000,GOOG200214P01410000,0.4,-0.8,0.05,0.75,34,0.3203,-0.0211,0.001,152
02/14/2020,GOOG200214C01412500,69.6,0,92.5,101.1,0,0.02,0.9894,0.0006,13,1412.500,GOOG200214P01412500,0.25,-1.075,0.1,0.75,26,0.3161,-0.0225,0.0011,48
02/14/2020,GOOG200214C01415000,85.03,19.68,90,96.9,1,0.02,1,0.0004,52,1415.000,GOOG200214P01415000,0.3,-1.125,0.05,0.45,23,0.2856,-0.0154,0.0009,139
02/14/2020,GOOG200214C01417500,35.5,0,87.5,94.4,0,0.02,1,0.0001,17,1417.500,GOOG200214P01417500,0.1,-1.475,0.1,0.7,3,0.2964,-0.0213,0.0011,99
02/14/2020,GOOG200214C01420000,89.06,28.46,88.9,92.1,13,0.02,0.9455,0.0019,124,1420.000,GOOG200214P01420000,0.55,-1.175,0,0.8,40,0.295,-0.0239,0.0012,366
02/14/2020,GOOG200214C01422500,62.5,0,82.6,89.6,0,0.02,1,0.0007,23,1422.500,GOOG200214P01422500,0.47,-1.43,0,0.85,14,0.2934,-0.0266,0.0013,83
02/14/2020,GOOG200214C01425000,76,20.05,80.1,87.2,5,0.02,1,0.0013,56,1425.000,GOOG200214P01425000,0.49,-1.61,0.25,0.75,79,0.2859,-0.0271,0.0014,270
02/14/2020,GOOG200214C01427500,72.35,18.7,77.5,84.8,3,0.02,1,0.001,45,1427.500,GOOG200214P01427500,0.5,-1.8,0.05,0.85,13,0.2812,-0.0289,0.0015,152
02/14/2020,GOOG200214C01430000,78,26.6,75.2,82.3,2,0.02,1,0.001,115,1430.000,GOOG200214P01430000,0.6,-1.9,0.2,0.85,97,0.2759,-0.0306,0.0016,395
