MSFT (Microsoft Corporation),188.74,2.5498
Feb 11 2020 @ 08:31 ET,Bid,191.23,Ask,191.25,Size,18x19,Vol,35844267
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
02/21/2020,MSFT200221C00125000,55.12,0,63.55,63.95,0,0.02,0.9535,0.0019,175,125.000,MSFT200221P00125000,0.02,0,0,0.01,0,0.8361,-0.0019,0.0002,1814
02/21/2020,MSFT200221C00130000,57.07,3.07,58.55,59,10,0.02,0.9539,0.0021,779,130.000,MSFT200221P00130000,0.01,-0.005,0,0.01,50,0.6696,-0.0006,0.0001,4669
02/21/2020,MSFT200221C00135000,52.91,3.86,53.55,53.95,41,0.02,0.9557,0.0023,205,135.000,MSFT200221P00135000,0.02,-0.005,0.01,0.02,11,0.6797,-0.002,0.0003,5649
02/21/2020,MSFT200221C00140000,47.15,3.075,48.55,49,22,0.02,0.9557,0.0026,1313,140.000,MSFT200221P00140000,0.03,-0.005,0.01,0.03,215,0.632,-0.0029,0.0004,5657
02/21/2020,MSFT200221C00145000,42.71,3.61,43.6,43.95,122,0.02,0.9562,0.003,1474,145.000,MSFT200221P00145000,0.03,-0.015,0.01,0.03,333,0.582,-0.0042,0.0006,9976
02/21/2020,MSFT200221C00150000,38.3,4.2,38.55,38.95,203,0.02,0.9578,0.0034,5547,150.000,MSFT200221P00150000,0.03,-0.035,0.03,0.04,677,0.5319,-0.006,0.001,10276
02/21/2020,MSFT200221C00152500,35.4,3.8,36.2,36.5,36,0.02,0.9517,0.0039,52,152.500,MSFT200221P00152500,0.04,-0.035,0.03,0.05,167,0.4975,-0.0064,0.0011,1258
02/21/2020,MSFT200221C00155000,33.19,4.115,33.55,34.55,39,0.02,0.9389,0.0048,7609,155.000,MSFT200221P00155000,0.05,-0.04,0.04,0.05,207,0.4783,-0.0084,0.0015,8020
02/21/2020,MSFT200221C00157500,30.77,4.07,29.85,31.5,8,0.02,1,0.0047,586,157.500,MSFT200221P00157500,0.06,-0.035,0.05,0.06,84,0.4541,-0.0105,0.0019,1303
02/21/2020,MSFT200221C00160000,28.71,4.56,28.65,29.1,501,0.02,0.9467,0.0054,12193,160.000,MSFT200221P00160000,0.06,-0.055,0.05,0.06,883,0.42,-0.0114,0.0022,8445
02/21/2020,MSFT200221C00162500,26.3,4.675,26.15,26.4,5,0.02,0.9545,0.0055,505,162.500,MSFT200221P00162500,0.06,-0.085,0.06,0.08,178,0.3963,-0.0146,0.0028,2588
02/21/2020,MSFT200221C00165000,23.75,4.575,23.7,24.1,202,0.02,0.9395,0.0071,15939,165.000,MSFT200221P00165000,0.1,-0.085,0.08,0.1,319,0.3724,-0.0187,0.0037,13054
02/21/2020,MSFT200221C00167500,21.4,4.675,21.2,21.65,35,0.02,0.933,0.0084,4176,167.500,MSFT200221P00167500,0.11,-0.145,0.1,0.12,1196,0.3465,-0.0237,0.0049,3625
02/21/2020,MSFT200221C00170000,19,4.725,18.7,19.15,527,0.02,0.928,0.0099,11571,170.000,MSFT200221P00170000,0.15,-0.205,0.14,0.17,1745,0.332,-0.0351,0.0071,9529
02/21/2020,MSFT200221C00172500,16.35,4.425,16.3,16.65,205,0.02,0.9151,0.0124,4170,172.500,MSFT200221P00172500,0.2,-0.315,0.2,0.22,730,0.3123,-0.0493,0.0099,3468
02/21/2020,MSFT200221C00175000,14,4.35,13.75,14.25,1123,0.02,0.9018,0.0156,7589,175.000,MSFT200221P00175000,0.32,-0.465,0.3,0.33,1663,0.2996,-0.0744,0.0143,4113
02/21/2020,MSFT200221C00177500,11.6,4.1,11.5,11.7,1173,0.02,0.8748,0.0205,2004,177.500,MSFT200221P00177500,0.5,-0.715,0.48,0.5,2659,0.2895,-0.113,0.0202,3767
02/21/2020,MSFT200221C00180000,9.35,3.725,9.25,9.45,3983,0.1976,0.9087,0.0249,9095,180.000,MSFT200221P00180000,0.78,-1.09,0.76,0.81,6513,0.2842,-0.1712,0.0272,5961
02/21/2020,MSFT200221C00182500,7.25,3.225,7.25,7.4,2213,0.2189,0.802,0.0385,5497,182.500,MSFT200221P00182500,1.28,-1.555,1.26,1.3,3919,0.2815,-0.2494,0.0343,3729
02/21/2020,MSFT200221C00185000,5.44,2.645,5.4,5.5,11402,0.2296,0.6815,0.0472,6760,185.000,MSFT200221P00185000,2,-2.125,1.95,2.04,5251,0.2829,-0.3457,0.0397,4036
02/21/2020,MSFT200221C00187500,3.9,2,3.9,4,9410,0.2375,0.5531,0.0506,4289,187.500,MSFT200221P00187500,3.05,-2.75,3,3.1,2900,0.2884,-0.451,0.0418,1700
02/21/2020,MSFT200221C00190000,2.77,1.485,2.75,2.81,16454,0.2453,0.4288,0.0487,9958,190.000,MSFT200221P00190000,4.45,-3.25,4.35,4.45,1408,0.2992,-0.5531,0.0402,851
02/21/2020,MSFT200221C00195000,1.32,0.68,1.32,1.35,7620,0.2691,0.2375,0.035,7352,195.000,MSFT200221P00195000,7.95,-4.1,7.9,8.05,100,0.3366,-0.7104,0.0308,474
02/21/2020,MSFT200221C00200000,0.68,0.3,0.69,0.7,9030,0.3016,0.1325,0.0216,7508,200.000,MSFT200221P00200000,12.4,-4.4,12.3,12.45,181,0.3915,-0.7989,0.0217,288
