"Date" "yyyymmdd" "AAPL" "MSFT" "GOOG" "CSCO" "ORCL" "INTC" "QCOM" "AMGN" "TEVA" "GILD"
2018-04-20 20180420 161.125412 92.455032 1072.959961 41.952812 44.895836 49.132385 48.128185 161.817978 17.82 69.275925
2018-04-23 20180423 160.658752 92.795654 1067.449951 42.105053 44.478249 48.722393 47.276768 164.741943 17.85 69.567314
2018-04-24 20180424 158.422516 90.625397 1019.97998 41.619778 44.216038 49.056107 46.724758 162.176407 17.559999 68.354744
2018-04-25 20180425 159.112808 89.837105 1021.179993 41.591228 44.429695 48.989365 46.546986 164.902298 17.27 68.852928
2018-04-26 20180426 159.667007 91.734856 1040.040039 42.066994 44.633633 50.581661 47.220634 165.411621 17.67 69.463913
2018-04-27 20180427 157.819687 93.253059 1030.050049 42.542755 44.216038 50.27655 47.819424 167.38295 17.83 69.426315
2018-04-30 20180430 160.678177 91.014671 1017.330017 42.143116 44.351997 49.218201 47.725868 164.572174 17.98 67.894157
2018-05-01 20180501 164.411697 92.455032 1037.310059 42.65694 44.623924 50.84864 47.5481 159.667435 18.709999 68.204346
2018-05-02 20180502 171.674622 91.004951 1024.380005 41.733959 44.196613 49.876095 47.024151 159.808929 18.6 62.865311
2018-05-03 20180503 171.985733 91.54995 1023.719971 42.285843 43.759605 49.847492 47.070934 156.941559 17.780001 61.276764
2018-05-04 20180504 178.733322 92.610741 1048.209961 43.104156 44.39085 50.614674 49.11058 158.441284 17.83 61.492954
2018-05-07 20180507 180.026459 93.642357 1054.790039 43.513309 44.740459 51.142113 49.597103 158.516739 18.620001 60.985367
2018-05-08 20180508 180.891769 93.243332 1053.910034 43.494282 44.614208 51.429798 49.45676 158.922318 18.9 61.304955
2018-05-09 20180509 182.165451 94.343063 1082.76001 43.808289 45.235737 52.110668 49.746803 160.007019 19.33 61.746746
2018-05-10 20180510 184.771149 95.287094 1097.569946 44.055687 45.575642 52.724407 51.430916 161.072861 19.24 61.445957
2018-05-11 20180511 184.06842 95.082695 1098.26001 43.703625 45.468811 52.427128 51.674175 164.015671 19.309999 62.188534
2018-05-14 20180514 183.638962 95.403854 1100.199951 43.484764 45.468811 52.64769 53.086964 165.968124 20.379999 63.025112
2018-05-15 20180515 181.969971 94.712875 1079.22998 43.275433 45.459103 51.707901 52.057781 162.553665 20.299999 62.968712
2018-05-16 20180516 183.668228 94.957253 1081.77002 42.97094 45.381409 52.398361 53.049534 165.196075 20.879999 63.495098
2018-05-17 20180517 182.50679 94.00914 1078.589966 41.353348 45.196899 52.561386 53.28344 166.003967 21.120001 63.542088
2018-05-18 20180518 181.843079 94.185074 1066.359985 41.115467 44.983242 51.30513 53.807388 167.572296 21.23 63.936874
2018-05-21 20180521 183.131439 95.397087 1079.579956 41.629288 45.847557 52.091484 53.994503 167.733887 21.09 63.57029
2018-05-22 20180522 182.672684 95.299347 1069.72998 41.534142 45.031799 52.216152 53.695114 169.530304 21 63.758297
2018-05-23 20180523 183.843964 96.433167 1079.689941 41.562683 45.546509 52.944977 55.033047 171.03212 21.15 64.077873
2018-05-24 20180524 183.638962 96.091064 1079.23999 41.458015 45.119202 52.503849 55.276302 169.150131 21.629999 63.476295
2018-05-25 20180525 184.058655 96.139931 1075.660034 41.16304 45.64362 53.165539 56.099648 169.41626 22.18 63.335297
2018-05-29 20180529 183.394974 95.797836 1060.319946 40.887096 44.924973 53.050461 55.050259 168.655838 21.540001 63.288303
2018-05-30 20180530 183.004562 96.716606 1067.800049 40.772919 45.692177 53.395699 55.201519 171.317245 21.65 63.626694
2018-05-31 20180531 182.389633 96.609093 1084.98999 40.639698 45.3717 52.935387 54.946266 170.727921 21.5 63.354095
2018-06-01 20180601 185.678833 98.515076 1119.5 41.543652 45.983517 54.738262 55.409512 174.482391 21.889999 64.200073
2018-06-04 20180604 187.230743 99.375214 1139.290039 41.467533 45.954388 54.498516 55.504051 176.259827 21.68 65.995415
2018-06-05 20180605 188.675247 99.883492 1139.660034 41.553165 45.769867 54.210819 55.759304 172.733475 21.52 65.854416
2018-06-06 20180606 189.329178 100.176704 1136.880005 42.114567 46.371971 54.690311 56.572346 174.463394 21.799999 67.649773
2018-06-07 20180607 188.821671 98.603058 1123.859985 41.534142 46.303993 53.58749 57.328659 174.225754 21.889999 67.583969
2018-06-08 20180608 187.103851 99.336121 1120.869995 41.372375 46.789566 52.791542 56.96941 175.17627 23.110001 67.593376
2018-06-11 20180611 186.645111 98.769218 1129.98999 41.572197 46.799271 52.283279 56.657433 175.470932 23.190001 67.518173
2018-06-12 20180612 187.669937 99.023338 1139.319946 41.810081 47.051773 52.570976 56.52507 175.908142 24.02 67.377167
2018-06-13 20180613 186.127823 98.573723 1134.790039 41.876686 46.876968 52.772362 55.986206 174.586929 24.33 67.01059
2018-06-14 20180614 186.225433 99.130867 1152.119995 42.523724 44.575359 53.26144 56.213093 176.592499 23.780001 67.418037
2018-06-15 20180615 184.312439 97.869972 1152.26001 42.105053 44.944401 52.849079 56.591255 175.851105 23.76 66.546288
2018-06-18 20180618 184.214798 98.583504 1173.459961 42.066994 45.177475 51.036617 55.967289 174.843582 24.219999 65.437653
2018-06-19 20180619 181.237946 98.583504 1168.060059 41.695896 44.934685 50.758514 55.494595 176.972702 24.049999 67.219048
2018-06-20 20180620 182.028534 99.570709 1169.839966 41.619778 41.584248 51.266769 55.579681 177.276855 24.280001 67.711769
2018-06-21 20180621 181.013458 98.857185 1157.660034 41.06789 41.856167 50.04887 55.541866 176.782608 24.01 67.768616
2018-06-22 20180622 180.486389 98.143669 1155.47998 41.105953 42.827309 50.346157 55.305515 175.984192 23.99 67.342232
2018-06-25 20180625 177.802338 96.16925 1124.810059 40.240063 43.002113 48.629589 53.9347 176.183777 23.57 67.408554
2018-06-26 20180626 180.008163 96.843681 1118.459961 40.487457 43.128365 47.632256 53.367458 175.451904 23.620001 66.565239
2018-06-27 20180627 179.744629 95.33844 1103.97998 40.27813 42.196068 46.759586 52.157352 174.444382 23.639999 65.03968
2018-06-28 20180628 181.052505 96.403831 1114.219971 40.858547 42.574814 47.229485 52.847492 174.263779 24.709999 66.641052
2018-06-29 20180629 180.671844 96.384285 1115.650024 40.944187 42.788464 47.670624 53.055481 175.451904 24.32 67.12429
2018-07-02 20180702 182.692215 97.752686 1127.459961 40.734859 43.65279 48.140518 53.112206 176.117233 24.469999 67.541214
2018-07-03 20180703 179.510391 96.814369 1102.890015 40.601643 43.429417 47.440468 52.308617 176.516449 24.700001 67.588593
2018-07-05 20180705 180.954895 97.508339 1124.27002 40.812611 44.099499 48.667946 54.246674 178.084763 23.92 68.990959
2018-07-06 20180706 183.463272 98.87674 1140.170044 40.956444 44.672482 49.262516 54.681557 181.554077 24.129999 71.265068
2018-07-09 20180709 186.010712 99.551155 1154.050049 40.918091 45.381409 49.732418 54.87064 184.557648 24.25 72.620064
2018-07-10 20180710 185.786255 99.815071 1152.839966 41.100292 45.633907 50.0201 55.18261 186.002396 24.139999 72.724297
2018-07-11 20180711 183.375427 99.678223 1153.900024 40.822205 46.265152 49.099487 54.171043 183.58812 23.75 72.032593
2018-07-12 20180712 186.449905 101.838333 1183.47998 41.790733 46.760429 50.202309 55.135349 184.472107 23.73 73.529709
2018-07-13 20180713 186.742706 103.050362 1188.819946 40.064632 47.226578 50.077644 55.201519 186.211502 23.290001 73.321259
